timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,instore_area,type
1,E01,10,51.54545455,6.5,0.129960986,459.4545455,1119.5,0.417181227,800,E
1,E02,12,59.5,8.727272727,0.148310767,649,1473.5,0.447349857,1375,E
1,E03,14,45.22727273,6.727272727,0.160744087,579.7727273,1449.454545,0.40524407,1507,E
1,E04,15,110.3181818,23.63636364,0.214293737,1001.772727,2076.272727,0.489578637,2118,E
1,E05,16,25.09090909,5.681818182,0.236906654,396.9090909,863.7727273,0.460673211,1300,E
1,E06,17,78.36363636,11.59090909,0.146643539,801.8181818,1943.636364,0.41434235,1658,E
1,E07,18,42.77272727,6.5,0.14982876,515.3636364,1315.545455,0.395613524,1291,E
1,E08,19,68.86363636,9.954545455,0.145653972,1028.772727,2791.863636,0.375902603,1740,E
1,E09,20,34.95454545,4.454545455,0.135364373,483.5,1139.590909,0.428976123,1194,E
1,E10,21,55.09090909,8.5,0.156790965,460,1132.227273,0.406657897,1194,E
1,E11,22,57.68181818,9.272727273,0.167834709,583.4090909,1408.681818,0.419027397,1580,E
1,E12,23,80.31818182,12.68181818,0.157330391,892.8636364,1924.727273,0.471800317,2096,E
1,E13,24,112.8636364,10.72727273,0.097521299,979.7272727,2324.5,0.422751127,1555,E
1,E14,25,46,8.136363636,0.179768613,529.6363636,1329,0.404669035,1465,E
1,E16,1,73,11.36363636,0.15703098,1200.590909,2609.863636,0.473403746,3903,E
1,E17,7,69.09090909,10.5,0.160159501,1025.454545,2239.318182,0.4658331,1882,E
1,P01,11,100.5909091,16.54545455,0.164703951,1221.272727,2947.136364,0.423255808,2790,P
1,P02,13,108.8636364,10.59090909,0.098669545,1060.727273,2594.045455,0.418946921,1850,P
1,P03,2,82.95454545,12.27272727,0.151773128,1535.227273,3135.636364,0.500963006,5000,P
1,P04,3,104.4090909,22.59090909,0.216623512,1281.454545,2668.954545,0.484297595,1910,P
1,P05,4,113.8181818,19.68181818,0.175634913,1462.772727,3089.954545,0.481795586,3500,P
