timestamp,,unit,cc_transactions_count,ip_transactions_count,ip_cr,instore_transactions_count,instore_traffic,instore_cr,introre_area,type,traffic_area_ratio,cc_transactions_instore_transactions_ratio,cc_transactions_traffic_ratio,cc_transactions_area_ratio,instore_transactions_area_ratio
2,P01,11,91.06666667,16.2,0.180071513,1299.233333,2890.8,0.457694626,2790,P,1.036129032,0.070092619,0.031502237,0.032640382,0.46567503
2,E02,12,49.43333333,8.8,0.17685048,678.7666667,1439.666667,0.48037061,1375,E,1.047030303,0.072828169,0.034336652,0.035951515,0.493648485
2,P02,13,92.13333333,11.8,0.126813605,1112.8,2512.066667,0.449418861,1850,P,1.357873874,0.082794153,0.036676309,0.049801802,0.601513514
2,E03,14,38.16666667,6.7,0.171767234,540.6666667,1259.533333,0.435093203,1507,E,0.835788542,0.070591862,0.030302228,0.025326255,0.358770184
2,E04,15,102.0666667,23.33333333,0.228176442,1110.633333,2226,0.507629048,2118,E,1.050991501,0.091899517,0.045852052,0.048190116,0.524378344
2,E05,16,24.86666667,5.7,0.238375866,394.5,909.5,0.438394343,1300,E,0.699615385,0.063033376,0.02734103,0.019128205,0.303461538
2,E06,17,65.4,9.2,0.140539674,810.0333333,1852.133333,0.443339529,1658,E,1.117088862,0.080737418,0.035310633,0.039445115,0.488560515
2,E07,18,39.26666667,7.166666667,0.181361361,512.4,1247.1,0.413481935,1291,E,0.965995352,0.076632839,0.031486382,0.030415698,0.396901627
2,E08,19,56.96666667,9.466666667,0.169003268,937.0666667,2422.333333,0.395436208,1740,E,1.392145594,0.060792544,0.02351727,0.032739464,0.538544061
2,E09,20,33.66666667,6.6,0.206279457,489.8666667,1077.733333,0.460538145,1194,E,0.902624232,0.068726184,0.031238402,0.028196538,0.41027359
2,E10,21,47.26666667,8.133333333,0.179678831,505.3666667,1181.933333,0.428539054,1194,E,0.989893914,0.093529451,0.039990975,0.039586823,0.423255165
2,E11,22,44.53333333,7.833333333,0.180881072,568.6666667,1305.4,0.439385858,1580,E,0.826202532,0.078311841,0.034114703,0.028185654,0.359915612
2,E12,23,70.2,11.56666667,0.173272925,904.1666667,1814.366667,0.503507069,2096,E,0.865632952,0.077640553,0.038691187,0.033492366,0.431377226
2,E13,24,109.6333333,13.63333333,0.128338975,1124.533333,2424.5,0.462999177,1555,E,1.559163987,0.097492293,0.045218945,0.070503751,0.723172562
2,E14,25,41.96666667,7.966666667,0.190195014,532.8,1281.1,0.421041565,1465,E,0.87447099,0.078766266,0.032758307,0.028646189,0.363686007
3,E16,1,61.03225806,10.96774194,0.180510535,1156.225806,2514.032258,0.462464162,3903,E,0.644128173,0.05278576,0.024276641,0.015637268,0.296240278
3,P03,2,65.64516129,12.19354839,0.190352437,1439.096774,2950.548387,0.491764463,5000,P,0.590109677,0.045615529,0.022248461,0.013129032,0.287819355
3,P04,3,95.35483871,22.93548387,0.243181972,1325.064516,2882.677419,0.461753711,1910,P,1.509255193,0.071962412,0.033078567,0.049923999,0.693751056
3,P05,4,83.25806452,15.90322581,0.195541527,1418.096774,3127.83871,0.454570034,3500,P,0.893668203,0.05871113,0.026618401,0.023788018,0.405170507
3,P06,5,60.58064516,12.58064516,0.206975588,1450.774194,3687.354839,0.395229042,3634,P,1.014682124,0.04175746,0.016429296,0.016670513,0.399222398
3,P07,6,75.29032258,16.67741935,0.225764512,1245.645161,2709.548387,0.461625258,1907,P,1.420843412,0.060442833,0.027787037,0.039481029,0.653196204
3,E17,7,54.58064516,11.5483871,0.215914153,1030.741935,2305.129032,0.450155861,1882,E,1.224829454,0.052952774,0.023677913,0.029001406,0.547684344
3,P08,8,86.77419355,16.16129032,0.18803114,1689.193548,3652.967742,0.466895447,5991,P,0.609742571,0.05137019,0.023754437,0.014484092,0.281955191
3,P09,9,120.2903226,26.19354839,0.216764546,1602.032258,3085.096774,0.519137059,4624,P,0.667192209,0.07508608,0.038990778,0.026014343,0.346460263
3,E01,10,40.38709677,5.419354839,0.128801328,451.9354839,1118.709677,0.403917258,800,E,1.398387097,0.089364739,0.036101499,0.050483871,0.564919355
3,P01,11,81.25806452,13.25806452,0.164508834,1239.258065,2915.258065,0.427162092,2790,P,1.044895364,0.06556993,0.027873369,0.029124754,0.444178518
3,E02,12,52.77419355,9.903225806,0.190105644,664.8387097,1502.645161,0.445110581,1375,E,1.092832845,0.079378942,0.035120862,0.038381232,0.483519062
3,P02,13,81.22580645,12.35483871,0.151996034,1106.83871,2637.387097,0.422096791,1850,P,1.425614647,0.073385405,0.030797833,0.043905841,0.598291194
3,E03,14,36.90322581,7.161290323,0.192200165,552.2580645,1388.741935,0.398759687,1507,E,0.921527495,0.06682243,0.026573134,0.024487874,0.366461888
3,E04,15,85.03225806,18.09677419,0.215005983,1011.064516,2096.967742,0.484834509,2118,E,0.990069755,0.084101713,0.040550103,0.040147431,0.477367571
3,E05,16,22.93548387,5.419354839,0.239725236,394.8387097,944.2903226,0.418800547,1300,E,0.726377171,0.058088235,0.024288594,0.01764268,0.303722084
3,E06,17,62.19354839,8.967741935,0.146205676,761,1770.096774,0.430977874,1658,E,1.067609635,0.081726082,0.035135677,0.037511187,0.458986731
3,E07,18,35.83870968,5.903225806,0.169350035,488.1935484,1248.258065,0.391628391,1291,E,0.966892381,0.073410863,0.028710978,0.027760426,0.37815147
